,sentence,target,type,hateSpeech
0, - চ্যার দয়া করে বমি করার সময় পলিথিনে করবেন আর সেটা বাসায় পার্সেল করে নিয়ে যাবেন!  - আপনার বমির গন্ধে জনগন কিন্তু অজ্ঞান ওয়ে যাবে!!  - কুবই বমিপ্রবন মানুষ আপুনি!  :/,male,slander,1
1,", জাফর সার অবশ্যই জ্ঞানী মানুষ, বাট এক কুখ্যাত শয়তান ও প্রতারক। আমি চাই উনি দীর্ঘদিন বেচে থকুক। ওনার লেখাগুলি যুক্তিসঙ্গত। আওয়ামীলীগ চিরদিন থাকবে না। একদিন নামতে হবে, সেদিন থেকে প্রমাণিত হবে, আওয়ামীলীগের মন্ত্রী এমপিরাই প্রকৃত রাজাকার। তখন বিটিভি থাকবে না। তখন সব প্রমাণিত হবে কারা রাজাকার। ভারতের দালালদের জালিয়ে দেওয়া হবে। সারকে একটা প্রশ্ন, ""নতুন ট্রাইব্যুনাল গঠনে বিদেশী পর্যবেক্ষকদের কেন ফেরত পাঠানো হয়েছিল? শাহাবাগে কেন টাকা দিয়ে ও জোরপূর্বক আদম ভাড়া করে আনা হত? (আমি সব জানি)। বিএনপি জামাত রাজাকার নয়, রাজাকার আওয়ামীলীগ। সার, রাজাকার প্রসঙ্গে সার স্নায়ুযুদ্ধকালীন পরাশক্তিদের ভুমিকার ইতিহাস জানে, গ্লোবালাইজেশন বুঝে, কালেক্টিভ সিকিউরিটি সিস্টেম বুঝে, ডিপ্লোমেসি বুঝে, ফরেন পলিসি বুঝে, অর্থনীতি বুঝে, বিশ্বরাজনীতি বুঝে, জাতীয়তাবাদ বুঝে, বিশ্বসন্ত্রাস কে চিনে, সেকুলারিজম বুঝে, উদারগণতন্ত্র বুঝে, জাতীয়তাবাদের ধারা গুলি বুঝে, পুজিবাদের রাস্তা চিবে, ছোট ছোট উপপথ চিনে, রিজিনালিজম বুঝে, বিশ্বমোড়লকে চিনে, বিশ্বরাজনীতির বহু ইতিহাস ও মেরুকরণের কথা জানে, মুক্তিযুদ্ধের মৌলিক কাহিনী জানে, কারণ সে একজন খাটি দালাল, বাট জানেনা ১৬ কোটি বাঙ্গালী। তোদের ঘাড়ে আবারো মই চড়বে, অপেক্ষার প্রহর গণনা কর। ৪০০ বছরে তোরা মাইর খেয়ে কিছুই শিখিস নি। আবারও সেখানেই গেলি। আজ বিশ্ববিদ্যালয়ের ছেলেগুলি ও শিক্ষকমহল সব শারীরিক ও মানুষিকভাবে প্রতিবন্ধী। খুব লজ্জা বোধ হয়।",male,religion_slander,1
2, কি? এই মাইয়া আমার লাগবো লাগবো  কি? নাইলে রাতে ঘুম হারাম হইবো হইবো  কি? এই মাইয়ারে আমি চু মু চু মু  কি? আর পাছায় ঠাপ মারমু মারমু,female,callToViolence_gender,1
3,"।। জবর ইকবাল তুমি আমার বালের টিচার।। তোর রিয়েল ক্যারেক্টার সবাই জানে। এখন বলছিস আ:লীগের কথা। আর বি.এন.পি ক্ষমতায় থাকতে কইছস তাদের কথা। শালা টাকার ধান্দা করছ, সবাই তা বুঝে। তুই কিসের বুদ্ধিজীবীরে শালা বাঞ্চত। আ:লীগের ক্ষতি করছ উল্টা পাল্টা কথা কইয়া।",male,slander,1
4,#দালাল #দলকানা #যাফ্রিকবাল,male,slander,1
5, ৩ টি প্রেম করছে হা হা .যারা মিডিয়াতে কাজ করে মিনিমাম ৩০ টা সুনা ভিতরে গেছে .আর মিথিলাকে তাহসান করে দিতো না আর এইটা নিয়েই ওদের মদদে ভেজাল .আর একারণেই মিথিলা ভোদার রস চাটার জন্য চাটার রুগী খুঁজে,female,gender,1
6,অই কানকির পুলা তর মায়েরে চুদি তুই মুহাম্মদ নিয়ে গালিদেস কেনো,male,callToViolence_slander,1
7,অই কুত্তাকে কাছে পেলে জুতা পেটাতাম,male,callToViolence_slander,1
8,অই বেড তুই এক নাম্বার বন্ড সালা।লেখা পডা কত টকু পডছো। বেডা আমেন হয়াগেছে হে,ind,slander,1
9,অই শালি বউ রে নেয় না কে এতে তো এলাকার বাচ্চা রা নষ্ট হয়ে যাবে,female,slander,1
10,অই সালার বিচি কাইটা দেয়া হক,male,callToViolence_slander,1
11,অজ্ঞান হাওয়া এগুলো সব নাটক এই খানকি মাগীরে রাস্তায় ফালাইয়া সাধারন জনগন মিলে চোদা উচিত,female,callToViolence_gender,1
12,অতিন্দ্ৰৰ দা আপনাকে অনেক অনেক ধন্যাবাদ কুকুৰকে ঘি খেতে দিছেন হজম হবেনা ত তাই আবুলতাবুল বক্ ছে কুকুৰ আপনাকে শম্মান না কৰলেউ উপৰআলাই আপনাৰ শম্মান নিচ্ছয় কৰিব,ind,slander,1
13,অথচ কতো গুলা জানোয়ার দাড়িয়ে দেখছে আবাল বাংগালী আমরা,group,slander,1
14,অনাকে আরো পিটান যেভাবে বামাকে মারলো সেই ভবে ছেলেকে মারেন,ind,callToViolence,1
15,অনুরোধ যখন করেছে তাইলে প্রকাশ চোদাও কেন,ind,slander,1
16,অনেক দিনের ইচ্ছে রেশমি এলনের সাথে কথা বলবি অর বোদা খাইয়া দে চুদনার পুলা,ind,callToViolence_gender,1
17,অনেক ধন্যবাদ জানাই আমাদের প্রধানমন্ত্রী কে আমরা নুসরাতের হত্যাকারীদের ফাঁসির রায় শুনে খুশি হলাম। অতি তাড়াতাড়ি নুসরাত হত্যাকারী জানোয়ারদের পাশে অনুরোধ রইল,ind,slander,1
18,অপ বিশ্বাস কে ভালো লাগে না ফালতু নাইকা ফালতু মহিলা সাকিব খান ভালো করছে তালাক দিয়েছে,ind,slander,1
19,অপু অনেক সুন্দর কিন্তু শাবনুরের সাথে দাড়ানোর পর শাবনুরের চাকরানীর মত লাগছে,female,gender,1
20,অপু উকিল এর বোধা দিয়া যদি আইক্কা ওয়ালা বাঁশ ডোকাইয়া চৌরাস্তার মোরে বসানো উচিত।,female,callToViolence,1
21,অপু একটা বেয়াদব,female,slander,1
22,অপু দিদি আর সন্ত্রাসী লিগরা ইউ টুবের কমেন্টস গুলি দেখেনা মনে হয় দেখলে আজে বাজে কথা বলত না,female_group,slander,1
23,অপু বিশ্বাস কে ঘৃণা করি,female,slander,1
24,অপু মাগি বুড়ী হয়ে গেছে আর সাকিবের সাথে মানাবেনা,female,gender,1
25,অপুর দুধ অনেক বড়,female,gender,1
26,অপুর মুখে মুইত্তা দিলাম,female,callToViolence,1
27,অপূ খানকি,female,gender,1
28,অফিস এর মধ্যেই সালায় আকাম করছে।,ind,slander,1
29,অবিলম্বে পাপন সহ যত গুলা বাল পাখনা নেতা আছে ক্রিকেট বোডে সবাইর পদত্যাগ চাই।,group,slander,1
30,অবৈধ বিনাভোটের গভীর রাতে দলবাজ পুলিশদিয়ে ভোটচুরি কারি নিলজ্জ হাচিনার পাচাটা কুকুর কাউয়া কাদিরাকে গনদৌলাই দিন ঔরা বাংলাদেশকে জিম্মিকরে লুটেপুটে খাচ্ছে।।,male,slander,1
31,অমানুষ সালায়,ind,slander,1
32,অরে বাবা!! কিরে খানকি মাগি! তুই বোরকা কেন পরে আছিস চুতমারানি তরে পেনটি পরায়া রাস্তায় নামানো দরকার।চুতমারানি বোরকার অপমান করিস,female,gender,1
33,অর্দেক ভিতর রইচত বেয়াদবের বাচ্চা তাহেরি তর বাপের বয়সি তার বিরুধ্যে এভাবে কেমনে কইলি,male,slander,1
34,অসংখ্য পাকি বীর্য থেকে জন্ম নেয়া ছাগু ফেসবুকে জাফর স্যারের ফলোয়ার।,group,slander,1
35,অসব্য জানোয়ার এদের মত সন্তানদের বেচে থাকার কোন অধিকার নেই,ind,callToViolence_slander,1
36,আপু তোমার সাইজ কত,female,gender,1
37,আব্বাসির মত একটা ভন্ড শয়তানকে মানুষ কেন ওয়াজ করার জন্য নেয় বোঝি না দোষ কি আব্বাসির নাকি যারা তারে মাফিলে ভন্ডামি করার সুযোগ করে দেয় তাদের। আল্লাহ সবাইকে নেক বোঝ দান করো,male,religion_slander,1
38,আমির হারামজাদা বক্তা,ind,slander,1
39,আরে মোল্লা চোদা তোদের যে নাচাচজে সেটা কী তোরা জানিস সালা সুয়োরের বাচছা,ind,slander,1
40,আইনের লোক হয়ে লুচ্চামী সে আবার অন্যদের বিচার করবে কেমনে ধরা খেয়ে এখন কিছু জানে না,ind,slander,1
41,আইসে সেফুদার আরেক রক্ষীতাতুইও সেফাতুল্লাহর মতন খানকির ঘরে জন্মচুপ থাক চোতমারানি,male,slander,1
42,আওয়ামিলিগের মারে চুদি,group,slander,1
43,আওয়ামিলীগ মানে কুওা চুদা,group,slander,1
44,আওয়ামী দালাল বাংলাদেশ চলচ্চিত্র,ind,slander,1
45,আওয়ামী লীগের প্রার্থী বেশি মেকআপ এর কারণে হিজলার মত দেখতে,group,gender,1
