,sentence,target,type,hateSpeech
0,। গরুর বাচ্চা কুকুরের বাচ্চা,ind,slander,1
1,অন্যায় দাবি করছে ক্রিকেটাররা অথচ দোষ নাকি বোর্ডের ? বাংলাদেশ মাতালের কারখানায় পরিনত হয়েছে।,ind,religion,1
2,আইসিসিকে এই তথ্য দিলো কে?শুওরের বাচ্চা পাপন,male,slander,1
3,আওয়ামীলীগ ভারতের দালাল। মোদি নির্বাচিত হওয়ার পর একজন লীগ সমর্থককেও দেখলাম না মোদিকে অভিনন্দন জানাতে অথচ সবার আগে মোদিকে শুভেচ্ছা জানিয়েছিলো জামায়াত ইসলাম আর নিজেদের রাজনৈতিক কার্যালয়ে চেয়ারপারসনের বাড়িতে মিষ্টি বিতরণ করেছিলো বিএনপি। অসাম্প্রদায়িক দল কংগ্রেসের পরাজয়ে ছিলো তাদের এই উৎসব উল্লাস কারণ তারা নিজেরাই সাম্প্রদায়িক অথচ আজ তারা মোদির করা আইনের বিরোধিতা করে। মোদির করা আইনের বিরোধিতা করে নুরু নুরু মুক্তিযুদ্ধপন্থীদের ডাকে ভারতের দালাল পাবলিক পিডায় সেই নুরুকে সেই নুরুকে পিডানি দেয়ার কারণে নিন্দা জানায় সেই বিএনপি জামায়াত যারা মোদির জয়ে উল্লাস করেছিলো মিষ্টি বিতরণ করেছিলো সেই নুরুর জন্য নিন্দা জানায় যেই নুরু মোদির বিরোধিতা করে। পাদটীকাঃ মোদিরে চাটছে বিএনপি জামাত বিজাতকে চাটছে নুরু কিন্তু নুরু আবার মোদি বিরোধী নুরু যদি মোদি বিরোধীই হইবো তাইলে বিএনপি জামায়াতকে তাদের কর্মের জন্য মাফ চাইতে কয়না কেন তাদের পা না চেটে? মানে তারাই একে অপরের পাছা চাটতেছে আবার তারাই একে অপরের চনু চাটতেছে মোট কথা পাছা চেটেই হোক আর চনু চেটেই হোক অর্গাজম পাইতেছে এটাই তাদের বড় কথা কারণ উভয়ই সাম্প্রদায়িক। অথচ ভারতের দালাল আওয়ামিলীগ।,group,slander,1
4,আগারওয়াল পিউর বাস্টার্ড এর কিছু হবে না???,ind,slander,1
5,আজব পাগল ছাগল নেশা খোর সব বাংগালী দর্শক না দেখলে খেলা ওদের কোন দাম থাকবে না বুজলে পাগল ছাগল বাংগালীরা লোকটা কত বার বলতেছে কিছু বলে নাই নবীরে গালি দে মুর্খেদল বাংগালী কিছু কয় না মুসিকে গালি দিলে বাল পালাইতে পারে নেশা খোর বাংগালী,group,religion_slander,1
6,আপু তোমি কি বিয়ে করবাতাহলে ডিবাই আস কেমনভাল ভাল সুনা পাবেআরও অনেক বড় সুনা,female,gender,1
7,আপোন্দা কে বছর পোন্দে বাশ ডুকাতে হবে,ind,callToViolence,1
8,আবাল তুই,ind,slander,1
9,আবাল দিয়ে দেশটা ভরে গেছে,ind,slander,1
10,আমার মতে পত্যক ক্রিকেটার এখন সাকিবের পাশে থাকা উচিত খেলাটা বন্ধ করে দেওয়া উচিতবলা দরকার সাকিব না থাকলে খেলা হবে না দেখি বিসিবি কি করতে পারে আবার অনেকে বলবেন এটা কি বিসিবির দোষ নিহে আমি বলব এটা বিসিবির দোস আর সেখানের মুল শয়তান হল পাপন মাগীর পুলায়,male,religion_slander,1
11,আমিও এক বছরের জন্ন ক্রিকেট খেলা দেখার বিরতি নিলাম।পাপনেরে জুতার বারি দাও।অর পদত্যাগ চাই,male,callToViolence,1
12,আরে এদের মত পেলেয়ার দের রিজেক্ট দিয়ে দেন। নতুন করে টিম তৈরী করা হোক। শালারা ভাত পাই না চা চোদাই। পাপন ভাই রাইট কথা,group,slander,1
13,আরে মুশফিক মাদার চোদ,male,slander,1
14,আসুন আমরা সবাই মিলে এই চেনেল এর মালিকের মারে গিয়ে নিজ দায়িত্বে চুদে আসি,female,callToViolence,1
15,উড়ছে লুঙ্গি লাগছে বেশ চুদে গেছে কাঙলাদেশ।,group,religion,1
16,"এ কুত্তারবাচ্চা, রুবেল গান গাইলো কখন??",ind,slander,1
17,এ খানকির পুলা গান কই,male,slander,1
18,এই ইউটিওবার যে গরু চোর এতে কোনো সন্দেহ নেই তোর চোখে কি দেওয়ান বাগি মাজার পুজারি চেখে পড়েনা গরু চোরের মতো ওয়াজের পিছনে লাগছোত এসব বন্দ করো তুইতো মেহনত ছাড়া ইউটিওবে টাকা ইনকামের দান্দায় এসেছিস এটার কথা বলবে কে শুনি পাগল ছাগলের দল,ind,slander,1
19,এই কুত্তা পাপনকে সভাপতি থেকে সরানো হক।তাহলে বাংলাদেশ ক্রিকেট অনেক উপরে যাবে।,ind,slander,1
20,এই খানকির পোলা খেলা পারে নাহ। মাদারচোদ আবার টাকা বাড়াতে কয় শালা। সাকিব তামিম মুশফিক কাউরে আর দেখতে চাই নাহ।,male,slander,1
21,এই খানকির পোলা রুবেল কই গান গাইছে শুনা মাগির বাচ্চা তর মায়রে তুর বাপের কান্দে ফালাই চুদি ভোদার পোলা....next time no sorry mind it,male_female,callToViolence_slander,1
22,এই খানকির পোলারে মাশরাফির অনুরোধে দলে নিছে আমার বাল ফালাইছে।।,male,slander,1
23,এই দোষ এত দিন কোথায় ছিল।পাপন হালার পোলা। আজ কেন এই কোথা উঠবে।পাপন সালা মানুষ এর চোদা না।।,male,slander,1
24,এই বুড়া জাহিল জঙ্গী জানোয়ার কে সাক্ষাতকার নিল।সাংবাদিকদের খাইয়া কোন কাজ নাই। বেকার কি করব।,ind,slander,1
25,এই ময়ে একটা মাগি মেয়েরার কারন দেশের এই অবেছতা এই দরনের মেয়েরার প্রাসি ছাই নাসিরের কুনু দুস নাই সব মেয়ের দুস নাসিরকে দলে ছাই,female,gender,1
26,এই মাগি ত বিয়ে করছে,female,gender,1
27,এই শালা একটা গ্রেট বানঞ্চুদ,male,slander,1
28,এই শালার পো শালা তোর কি না খাইয়া কাম নাই,ind,slander,1
29,এই সমস্ত বান্দির পোলা দের জন্য খেলোয়াড়দের ইমেজ নষ্ট হয়,group,slander,1
30,"এই সাব্বির, তোকে কি ছোট থাকতে মানুষের পোন্দাইছে ?? তুই তো একটা খাসা মাল তোরে তো পোন্দানো যায়। তোর পুটকিমারতে তো মেয়েদের চেয়ে আরো বেশি মজা লাগবে আমার।",male,callToViolence_slander,1
31,এই সালা জুতা মারো,male,callToViolence_slander,1
32,একটা লাইক মানে পাপনের গালে একটা করে জুতার বাড়ি,male,callToViolence,1
33,একে বাংলাদেশের খেলোয়ার হিসেবে ধরা উচিত নয় কারণ সব খেলোয়াড়রা সম্মানের সাথে জড়িত আছে এখনো সময় আছে একেক খেলোয়ার থেকে বাহির করে দেয়া হোক কুত্তার বাচ্চা বাইনচোদ এই মেয়ের কাছে গেলি কেন তোর মার কাছে যাইতে পারলি না বেইমানের বাচ্চা এই কুত্তার বাচ্চা তুই একটা মেয়ে মানুষের কুলের জন্মই হইয়ে আরেকটা মানুষকে কেমনে ধোকা দেস,ind,slander,1
34,এখনো সময় আছে পাপন খানকির পড়ে ক্রিকেট বোর্ড থেকে সরিয়ে ফেলা হোক,ind,slander,1
35,এজন্য সাকিবের কোটি পাবে বিজ্ঞাপন করে সেটার জন্য কোটি টাকা লস করবে বাংলাদেশ ক্রিকেট টিম??সাকিবের এতো নিজের সার্থ দেখে কেন?এতো লোভ ভালো না তিন তিন টা খেলায় সে জুয়াড়িদের সাথে কন্ট্রাক্ট রাখছে আই সি সি যে জানায় না কারন কি?জুয়াড়িরা কি সাকিবের দুলা দুলাভাই?,male,slander,1
36,এবার ঠেলা সামলা পাপন সাহেব শালা তুই সব লুটেপুটে খাচ্ছে তাহলে কইয়া দিমু,male,slander,1
37,এর জন্য দায়ি শেই পাপনতার ওইনইতিক রাজনিতির কারনেআজ সাকিবের এই হাল। পাপনের দুই গালে জুতা মার তালে তালে,male,callToViolence,1
38,এর মারে আর এর বেনেরে সবাই মিলি চোদেন জাতে এই মাগির পোলা ভাল ভাল নিউচ করে খান কি মাগির পোলা ভাল হয়ে জা,male,callToViolence_slander,1
39,এসব আচোদা হুজুরেরা আমাদের ধর্ম ইসলাম কে হাইজ্যাক করছে,group,slander,1
40,ওই শালা ওই শালা বাইনচোদ তোর কি কুত্তা দিয়ে জন্মদিনে যারা বানায় মানুষের মরা লাশ,male,slander,1
41,"ওর ধন কেটে দিয়ে,খেলাতে দেওয়া দরকার।তানাহলে আবার মাগিগো নিয়া আবার মাগি খেলা করবে।",male_female,callToViolence_gender,1
42,ওরা জন মিলে তাসকিনের থাপ্রাইলে ভিডিওটি আরো ভাল হত।আবালের দলগুলো।,male,slander,1
43,ওরে এভাবে অত্যাচার করার অধিকার কে দিয়েছে আমার কাছে তুই আয় তোর নেতামি তোর হুগার মদ্ধে ধুকাবো সালারপুত,male,callToViolence_slander,1
44,কথা একটাই এই আবাল পাপন রে ক্রিকেট থেকে আগে সরাতে হবেকারন এই খবর ও কোথায় থেকে শুনেছে সেটা বের করলেই সে ধরা,male,slander,1
45,কাংকির পোলার দরকার নেই,male,slander,1
46,কাংখির ফোলার রাস্তায় জন্ম হয়সে,male,slander,1
47,কালা পাঠা তুই একটা মেয়েৱ জীবন নিয়ে খেলাটা ঠিক হয় নাই,ind,slander,1
48,কিরে বেজন্মার বাচ্ছা না জেনে ফালতু নিউজ করলি ক্যান ? তোদের মত কিছু ইউটিবারের জন্মের ঠিক নাই । এই জন্যই তোরা সস্তা জনপ্রিয়তার জন্য ভুল বাল তথ্য দিস । সাকিবের জন্য এমনিতেই মন খারাপ হয়ে আছে । সঠিক তথ্য দিস । সামনে ফাইলে তোর মাথা নামিয়ে দিব শুয়রের বাচ্ছা ।,ind,callToViolence_slander,1
49,কুণ্ডার বাচ্চাকে আজীবন নিষিদ্ধ করা হোক।হালার পো কোন ভাল খেলা খেলতে পারেনি।মাঙ্গের পোরে বাদ দেওয়া হোক,ind,slander,1
50,কুমিল্লায় দেশি কয়টা বলদ খেলে তারা কুমিল্লাকে ডুবাইছে।,ind,slander,1
51,কোন কুত্তার বাচ্চায় ভিডিওটা ছাড়ছে????,ind,slander,1
52,কোন মাগির ছেলের জন্য সকলেই নিষেধাক্কা দুর্ঘটনা এখনকার মাধ্যমে প্রকাশ হলো সেটাই জানেন না এই ঘটনা আমাদের বাংলাদেশ অনেক বড় ক্ষতি হবে না থাকাতে,male,slander,1
53,কোয়াব সভাপতি শালায় বলে পদত্যাগ করবে না,male,slander,1
54,ক্রিকেটারদের আগে জনগনের কাছে চলে আসছে তুমি শালাবাবু চোর। তুমি এবং তোমার ছেলা পেলার পদত্যাগই বিসিবির উন্নতি। বাংলাদেশ ক্রিকেটের উন্নতি।,group,slander,1
55,খানকি মাগি,female,gender,1
56,খানকিপোলা এতো গালি খাস তার পরও ভিডিও ছাড়স কেন মাগির পুত,male,slander,1
57,খানকির ছেলে পাপন।,male,slander,1
58,খানকির পােলা গানকই,male,slander,1
59,খানকির পুত মালাউন তর বুন কে গাইর মারি মালাউন তুরা আর কি হবি কুকুর ও চুদে তর বুনকে আর গরু চুদে তর মা কে আর মহিশ চুদে তর বাবা কে কুকুর চুদে তকে মালাউন সুওরের বাচ্চা এই রকম মিত্যা নিউজ কেন দেস মালাউন,male,callToViolence_slander,1
60,খানকির পো তো বাট বাট চোদাস ক্যন বসি বাট বাট করলে তোর পাছায় দিমু পেপে গাচের ডাট,male,callToViolence_slander,1
61,খানকির পোলা তোর মারে চোদি কৈ রুবেল গান কৌছে,male,callToViolence_slander,1
62,খানকির পোলা পাপুন্না,male,slander,1
63,খানকির পোলারা একটা খেলা জিততে পারে না । জনগনের টাকায় বিদেশ ঘুরোস গাড়ি বাড়ি কিনোস । জার্সি খানকির পোলারে খুব শিগগিরই রাস্তায় পাঠানো হবে । কেন্টিনে কাজ করে হলায় ।,male,slander,1
64,খানকির পোলারা খেলা পারেনা আবার ফুটানি চোদায়!! বকা দিছে ভালো করছে। মুশফিক কি তোগো বাপ লাগে মাদারচোদ!! শাকিবার পাল্লায় পইরা সবগুলা খেলোয়ার বস্তি হইয়া গেছে।,male,slander,1
65,খালি সব কিছু নতুন করে শুরু করতে হবে।।।পুরান আর হয় না।।সালার,ind,slander,1
66,খুলনা এই চুতিয়া শান্ত রে দলে রাখে কেন বুঝিনা,ind,slander,1
67,খেলার সময় ছাগলদের বডি ল্যাংগুয়েজ বলে দেয় যে ওরা পিকনিকে গেছে।আগে ফুটবলে আমরা অনেক ভালো ছিলাম।আর বিনোদনের প্রধানক্ষেত্র এটাই ছিল।এটা মোটামুটি ধ্বংসের দ্বারপ্রান্তে চলে গিয়েছিল।এখন ক্রিকেটটাও ওই পর্যায়ে চলে যাচ্ছে মনে হয়।,group,slander,1
68,খেলোয়াড় সব জামাত শিবির হয়ে গেছে ।সবগুলোরে ক্রস ফায়ারে দিয়ে দেন।সমাধান এর জন্য কি পদক্ষেপ নিচ্ছেন সেটা নিয়ে কথা না বলে এখানেও বালের নোংরা পলিটিশিয়ানের মত কথা বলেন কেন।এখানেই আপনার সভাপতি হিসেবে যোগ্যতা সবার বুঝা হয়ে গেছে ।,ind,slander,1
69,খেলোয়ারদের ডিমান্ড কুত্তার মতন,group,slander,1
70,খেলোয়ারা হারামি তার পাসে খেলোয়ার নেই,group,slander,1
71,গাজা খাইছো না কি,ind,slander,1
72,গালি আমি দেই ওনেকে দেই তাে কি হইছে বাল ফালাবি গাজাখোর,ind,slander,1
73,গালি না ছুদে দেওয়া সালাদের।।,group,slander,1
74,গেইল হালায় একটা কূপা,male,slander,1
75,চামচা গুলা সব মাদারচোদ,ind,slander,1
76,চোর চোর খালাতো ভাই,ind,slander,1
77,চোরের কমিটি।,group,slander,1
78,চোরের নেতা জয়নাল এটি একটি নাটক সবাই দেখবেন প্লিজ,male,slander,1
79,ছাগলের দল,ind,slander,1
